用户id,订单量,商品种类数,商品数量,用户长度,复购次数
94164,1,1,1,47,
94165,4,2,5,90,2
94166,2,2,2,35,0
94167,10,5,13,281,5
94168,11,4,11,197,7
94169,8,6,28,162,2
9417,4,1,4,157,3
94170,3,2,3,78,1
94171,6,6,7,25,0
94172,3,3,5,193,0
94173,8,8,8,90,0
94174,4,4,6,21,0
94175,2,2,2,97,0
94176,8,4,12,157,4
94177,1,1,1,77,
94178,4,1,4,285,3
94179,18,15,20,365,3
9418,20,6,37,351,14
94180,48,9,65,349,39
94181,1,1,1,54,
94182,6,4,9,85,2
94183,5,1,6,323,4
94184,7,4,7,349,3
94185,16,14,29,189,2
94186,7,6,8,180,1
94187,6,2,6,44,4
94188,4,3,6,144,1
94189,5,3,6,256,2
9419,4,2,4,176,2
94190,1,1,2,75,
94191,5,3,6,151,2
94192,5,2,5,251,3
94193,5,5,5,175,0
94194,6,4,9,152,2
94195,13,11,36,199,2
94196,1,1,1,48,
94197,29,11,35,331,18
94198,3,2,3,80,1
94199,9,4,9,350,5
942,8,6,11,121,2
9420,18,3,18,340,15
94200,4,4,5,76,0
94201,1,1,1,56,
94202,3,1,3,186,2
94203,5,5,10,83,0
94204,6,6,6,53,0
94205,11,3,13,349,8
94206,40,30,51,343,10
94207,2,1,6,83,1
94208,10,5,25,202,5
94209,13,8,13,361,5
9421,4,2,7,329,2
94210,2,2,2,67,0
94211,1,1,1,69,
94212,2,2,2,325,0
94213,11,3,11,83,8
94214,10,6,10,158,4
94215,10,7,11,185,3
94216,30,20,33,362,10
94217,1,1,1,74,
94218,8,4,18,318,4
94219,9,9,12,102,0
9422,7,6,8,290,1
94220,21,8,47,330,13
94221,5,5,5,64,0
94222,7,6,8,357,1
94223,2,2,3,73,0
94224,2,2,2,39,0
94225,19,5,23,348,14
94226,32,15,59,338,17
94227,14,11,17,227,3
94228,11,8,16,171,3
94229,10,9,18,354,1
9423,1,1,1,19,
94230,5,5,12,121,0
94231,12,10,15,177,2
94232,5,5,5,356,0
94233,1,1,4,24,
94234,5,4,5,188,1
94235,7,5,17,227,2
94236,2,2,2,51,0
94237,30,12,34,351,18
94238,16,9,16,328,7
94239,5,4,15,255,1
9424,23,8,24,271,15
94240,21,15,27,355,6
94241,15,7,18,355,8
94242,4,2,16,258,2
94243,2,2,2,41,0
94244,18,12,19,285,6
94245,8,4,21,151,4
94246,11,4,12,178,7
94247,5,4,6,332,1
94248,2,2,3,78,0
94249,4,2,4,359,2
9425,5,2,5,156,3
94250,4,4,5,179,0
94251,33,19,41,349,14
94252,13,10,23,302,3
94253,1,1,2,8,
94254,1,1,1,79,
94255,1,1,1,86,
94256,4,3,4,355,1
94257,2,2,3,96,0
94258,13,7,24,351,6
94259,6,3,10,196,3
9426,6,6,6,91,0
94260,6,3,8,362,3
94261,7,3,7,322,4
94262,11,11,15,267,0
94263,5,5,5,145,0
94264,2,2,2,10,0
94265,18,6,30,194,12
94266,12,6,17,358,6
94267,15,7,15,364,8
94268,3,3,7,38,0
94269,4,3,9,319,1
9427,2,2,2,196,0
94270,7,5,7,159,2
94271,13,9,46,363,4
94272,1,1,1,23,
94273,9,5,14,255,4
94274,2,2,3,12,0
94275,4,2,4,183,2
94276,43,27,57,350,16
94277,16,3,16,353,13
94278,3,3,4,34,0
94279,12,10,17,188,2
9428,41,25,64,364,16
94280,12,7,12,319,5
94281,6,2,6,189,4
94282,16,7,28,180,9
94283,1,1,2,88,
94284,10,5,11,293,5
94285,1,1,1,4,
94286,1,1,1,7,
94287,3,3,3,347,0
94288,3,3,5,343,0
94289,2,1,2,81,1
9429,4,4,4,31,0
94290,3,2,3,156,1
94291,2,2,2,120,0
94292,1,1,8,41,
94293,8,7,11,77,1
94294,2,2,2,75,0
94295,5,5,7,92,0
94296,12,3,18,193,9
94297,5,5,6,163,0
94298,2,1,2,63,1
94299,12,7,19,178,5
943,1,1,4,25,
9430,6,5,8,99,1
94300,6,6,6,345,0
94301,7,3,8,317,4
94302,7,5,8,205,2
94303,72,46,128,354,26
94304,2,1,2,204,1
94305,3,1,3,156,2
94306,2,2,3,61,0
94307,10,4,12,317,6
94308,17,16,40,332,1
94309,10,8,13,303,2
9431,2,2,2,17,0
94310,16,9,17,352,7
94311,24,20,24,305,4
94312,1,1,2,27,
94313,2,1,3,56,1
94314,9,7,13,224,2
94315,14,8,14,288,6
94316,6,5,7,188,1
94317,3,2,3,26,1
94318,28,18,37,353,10
94319,1,1,1,23,
9432,4,2,5,77,2
94320,6,6,7,219,0
94321,14,9,22,353,5
94322,11,7,15,342,4
94323,1,1,1,14,
94324,8,7,8,353,1
94325,5,3,7,313,2
94326,1,1,1,10,
94327,2,2,18,51,0
94328,11,10,18,194,1
94329,4,4,4,362,0
9433,1,1,1,22,
94330,4,3,7,55,1
94331,5,2,5,67,3
94332,5,5,5,278,0
94333,3,3,3,56,0
94334,4,3,4,277,1
94335,2,2,3,18,0
94336,4,3,4,171,1
94337,11,8,29,364,3
94338,19,11,62,363,8
94339,16,9,36,350,7
9434,9,6,27,353,3
94340,1,1,1,13,
94341,13,5,17,276,8
94342,17,10,26,316,7
94343,2,2,4,16,0
94344,4,2,4,319,2
94345,52,29,76,340,23
94346,38,25,79,348,13
94347,2,1,2,79,1
94348,2,2,2,71,0
94349,3,2,5,83,1
9435,10,9,11,214,1
94350,2,1,2,104,1
94351,1,1,1,24,
94352,11,6,21,168,5
94353,13,4,15,279,9
94354,12,9,13,350,3
94355,12,8,12,339,4
94356,1,1,1,35,
94357,33,16,44,353,17
94358,8,5,9,340,3
94359,2,2,2,25,0
9436,14,10,17,363,4
94360,5,5,6,218,0
94361,47,22,124,326,25
94362,22,8,42,353,14
94363,6,6,7,181,0
94364,5,4,9,199,1
94365,6,5,11,171,1
94366,3,2,3,30,1
94367,8,8,18,316,0
94368,1,1,5,14,
94369,23,20,31,328,3
9437,4,4,4,118,0
94370,14,7,33,333,7
94371,7,4,17,316,3
94372,2,2,2,12,0
94373,15,9,35,349,6
94374,39,25,57,300,14
94375,2,2,5,67,0
94376,6,6,8,171,0
94377,5,2,5,200,3
94378,28,22,38,331,6
94379,2,2,2,190,0
9438,2,2,2,270,0
94380,21,10,28,353,11
94381,4,2,4,140,2
94382,3,3,3,61,0
94383,2,2,2,40,0
94384,1,1,1,6,
94385,1,1,3,77,
94386,8,7,12,180,1
94387,26,7,39,362,19
94388,12,9,18,284,3
94389,3,3,4,172,0
9439,16,13,26,235,3
94390,1,1,1,5,
94391,13,8,17,365,5
94392,3,2,10,281,1
94393,1,1,1,12,
94394,5,1,5,363,4
94395,1,1,1,55,
94396,2,1,2,111,1
94397,6,5,7,171,1
94398,28,15,38,361,13
94399,1,1,1,45,
944,18,18,19,364,0
9440,2,1,2,111,1
94400,1,1,3,14,
94401,1,1,1,72,
94402,8,5,8,150,3
94403,66,34,193,307,32
94404,1,1,2,62,
94405,1,1,1,6,
94406,18,7,19,340,11
94407,1,1,1,10,
94408,4,3,4,67,1
94409,3,2,3,205,1
9441,3,2,4,48,1
94410,23,7,47,278,16
94411,10,7,17,172,3
94412,2,2,2,32,0
94413,2,2,2,7,0
94414,15,13,24,248,2
94415,6,5,8,121,1
94416,3,3,3,11,0
94417,3,2,4,50,1
94418,7,5,10,106,2
94419,2,2,2,71,0
9442,1,1,2,61,
94420,12,9,15,359,3
94421,4,1,8,69,3
94422,7,7,7,77,0
94423,8,5,9,172,3
94424,13,8,47,217,5
94425,12,5,13,350,7
94426,7,4,19,233,3
94427,3,3,3,269,0
94428,11,5,27,325,6
94429,4,4,5,295,0
9443,2,2,3,21,0
94430,34,18,38,365,16
94431,11,5,56,362,6
94432,7,5,17,59,2
94433,1,1,1,7,
94434,1,1,1,6,
94435,2,2,2,164,0
94436,9,6,12,196,3
94437,8,4,12,336,4
94438,4,2,4,239,2
94439,7,6,7,117,1
9444,7,5,10,238,2
94440,10,6,14,175,4
94441,13,11,24,340,2
94442,2,1,2,158,1
94443,2,2,20,60,0
94444,3,2,3,61,1
94445,1,1,4,19,
94446,3,3,3,354,0
94447,1,1,1,70,
94448,2,2,5,46,0
94449,2,2,2,9,0
9445,1,1,2,49,
94450,2,2,4,56,0
94451,6,5,9,317,1
94452,2,2,2,68,0
94453,1,1,3,16,
94454,5,3,6,275,2
94455,63,29,92,365,34
94456,1,1,1,61,
94457,31,16,55,349,15
94458,10,4,10,102,6
94459,11,9,11,359,2
9446,25,13,25,361,12
94460,39,24,45,357,15
94461,2,2,3,88,0
94462,8,4,8,52,4
94463,1,1,1,4,
94464,14,8,14,216,6
94465,3,2,3,67,1
94466,4,3,6,323,1
94467,13,9,21,352,4
94468,1,1,2,23,
94469,19,8,27,354,11
9447,2,2,2,89,0
94470,5,2,5,171,3
94471,2,1,2,81,1
94472,1,1,1,24,
94473,5,2,24,266,3
94474,6,4,6,359,2
94475,21,16,48,354,5
94476,8,6,8,316,2
94477,21,15,36,330,6
94478,1,1,1,6,
94479,4,1,5,361,3
9448,2,2,3,20,0
94480,7,5,7,297,2
94481,1,1,1,20,
94482,2,1,7,110,1
94483,5,3,11,353,2
94484,11,8,19,290,3
94485,6,6,7,164,0
94486,6,1,6,239,5
94487,7,7,13,300,0
94488,5,5,5,311,0
94489,56,38,65,364,18
9449,7,3,12,310,4
94490,4,4,4,31,0
94491,16,12,19,145,4
94492,36,12,49,350,24
94493,9,7,10,169,2
94494,3,1,3,78,2
94495,3,3,3,171,0
94496,2,2,2,177,0
94497,1,1,1,25,
94498,7,7,11,165,0
94499,9,9,11,351,0
945,3,3,3,30,0
9450,7,5,11,317,2
94500,2,1,2,159,1
94501,1,1,1,44,
94502,20,19,32,350,1
94503,5,4,5,223,1
94504,4,2,6,59,2
94505,12,7,14,338,5
94506,7,6,8,139,1
94507,4,3,5,55,1
94508,1,1,2,19,
94509,9,3,9,154,6
9451,2,2,2,277,0
94510,6,3,11,232,3
94511,1,1,1,75,
94512,9,9,26,97,0
94513,2,2,2,54,0
94514,4,4,6,275,0
94515,16,12,22,350,4
94516,28,18,38,244,10
94517,2,2,2,86,0
94518,8,3,9,195,5
94519,29,10,40,362,19
9452,1,1,1,55,
94520,5,5,5,318,0
94521,24,12,29,358,12
94522,1,1,1,59,
94523,10,5,10,342,5
94524,4,4,6,303,0
94525,3,3,5,110,0
94526,15,7,20,357,8
94527,32,12,32,354,20
94528,6,3,10,352,3
94529,5,3,5,108,2
9453,13,9,13,339,4
94530,23,9,23,342,14
94531,8,8,9,171,0
94532,5,5,12,106,0
94533,13,8,27,353,5
94534,8,5,11,179,3
94535,7,6,7,317,1
94536,1,1,1,7,
94537,1,1,1,11,
94538,8,5,8,193,3
94539,13,6,23,226,7
9454,14,10,27,357,4
94540,4,3,4,73,1
94541,9,9,13,62,0
94542,29,20,33,272,9
94543,6,2,6,351,4
94544,4,4,16,63,0
94545,1,1,1,77,
94546,1,1,1,46,
94547,2,2,2,56,0
94548,6,6,7,327,0
94549,4,4,5,181,0
9455,1,1,2,88,
94550,18,9,58,187,9
94551,2,2,2,66,0
94552,8,4,8,316,4
94553,18,10,21,338,8
94554,1,1,1,9,
94555,31,7,36,361,24
94556,1,1,1,46,
94557,12,9,12,202,3
94558,2,2,2,14,0
94559,6,6,6,231,0
9456,6,1,20,317,5
94560,5,4,5,171,1
94561,9,2,10,222,7
94562,4,2,12,337,2
94563,6,5,8,305,1
94564,3,3,5,59,0
94565,3,3,3,46,0
94566,4,4,5,112,0
94567,11,8,27,327,3
94568,1,1,3,1,
94569,2,2,2,341,0
9457,3,3,8,92,0
94570,11,9,18,318,2
94571,3,1,4,73,2
94572,2,2,2,60,0
94573,6,3,7,132,3
94574,2,2,2,79,0
94575,33,20,43,365,13
94576,14,4,18,317,10
94577,1,1,1,1,
94578,1,1,1,89,
94579,8,7,12,293,1
9458,7,6,8,169,1
94580,1,1,6,43,
94581,5,3,5,90,2
94582,1,1,1,39,
94583,22,20,23,294,2
94584,1,1,3,75,
94585,24,15,41,346,9
94586,5,3,6,317,2
94587,4,4,4,67,0
94588,43,29,49,356,14
94589,13,11,27,128,2
9459,4,4,6,49,0
94590,3,3,3,167,0
94591,4,4,6,85,0
94592,7,3,7,317,4
94593,1,1,1,36,
94594,2,2,3,26,0
94595,2,2,2,20,0
94596,1,1,1,11,
94597,2,2,5,141,0
94598,10,7,31,295,3
94599,4,2,5,118,2
946,6,5,17,201,1
9460,9,3,21,343,6
94600,8,3,8,363,5
94601,2,1,2,79,1
94602,4,4,4,358,0
94603,11,11,21,318,0
94604,6,3,7,354,3
94605,13,5,58,87,8
94606,1,1,2,27,
94607,9,1,9,296,8
94608,6,4,13,222,2
94609,2,2,2,71,0
9461,9,7,20,342,2
94610,2,2,2,88,0
94611,3,3,3,220,0
94612,5,5,8,278,0
94613,2,2,2,37,0
94614,1,1,1,7,
94615,8,7,10,215,1
94616,2,2,2,20,0
94617,4,2,4,180,2
94618,1,1,1,83,
94619,1,1,1,5,
9462,10,8,15,178,2
94620,4,2,7,352,2
94621,10,7,22,231,3
94622,1,1,1,43,
94623,38,23,71,364,15
94624,1,1,1,16,
94625,12,8,14,332,4
94626,13,6,27,338,7
94627,1,1,1,2,
94628,13,5,18,218,8
94629,2,2,2,5,0
9463,1,1,2,17,
94630,3,3,5,61,0
94631,6,4,6,78,2
94632,9,3,9,318,6
94633,43,32,65,364,11
94634,1,1,1,3,
94635,19,6,23,342,13
94636,2,2,2,190,0
94637,3,3,5,13,0
94638,1,1,2,41,
94639,11,4,18,266,7
9464,13,8,23,290,5
94640,2,2,2,6,0
94641,1,1,1,4,
94642,2,1,2,24,1
94643,1,1,1,84,
94644,10,8,15,147,2
94645,3,2,8,184,1
94646,2,1,2,87,1
94647,1,1,1,32,
94648,1,1,2,16,
94649,9,6,9,128,3
9465,31,11,43,180,20
94650,17,15,25,267,2
94651,1,1,1,45,
94652,14,13,21,328,1
94653,5,3,9,291,2
94654,5,4,5,171,1
94655,11,8,12,354,3
94656,6,2,6,265,4
94657,69,47,85,356,22
94658,2,2,3,85,0
94659,1,1,1,66,
9466,7,3,13,241,4
94660,26,16,33,364,10
94661,16,9,23,357,7
94662,10,4,22,268,6
94663,13,11,16,89,2
94664,1,1,1,30,
94665,14,7,23,334,7
94666,3,2,3,104,1
94667,16,11,16,338,5
94668,19,14,44,352,5
94669,4,3,6,358,1
9467,1,1,1,20,
94670,1,1,1,4,
94671,10,5,17,361,5
94672,6,3,12,362,3
94673,1,1,1,84,
94674,1,1,1,63,
94675,14,7,18,190,7
94676,6,4,9,292,2
94677,1,1,2,75,
94678,12,10,13,236,2
94679,4,2,4,182,2
9468,1,1,1,24,
94680,1,1,1,19,
94681,2,2,3,110,0
94682,3,3,5,308,0
94683,8,8,14,240,0
94684,4,4,9,303,0
94685,8,4,20,302,4
94686,27,10,65,359,17
94687,9,3,14,141,6
94688,3,3,3,140,0
94689,4,3,8,335,1
9469,8,2,15,252,6
94690,2,2,2,67,0
94691,4,3,9,70,1
94692,17,10,20,345,7
94693,7,6,8,193,1
94694,2,2,3,75,0
94695,12,4,21,317,8
94696,2,1,3,106,1
94697,2,2,3,338,0
94698,5,4,6,249,1
94699,1,1,1,15,
947,1,1,1,86,
9470,28,17,50,359,11
94700,28,20,80,341,8
94701,6,1,13,75,5
94702,10,5,18,303,5
94703,10,6,16,310,4
94704,14,5,28,361,9
94705,6,5,6,327,1
94706,1,1,1,29,
94707,1,1,1,12,
94708,15,3,16,194,12
94709,10,5,11,353,5
9471,5,2,8,172,3
94710,6,3,8,55,3
94711,3,3,3,34,0
94712,2,2,6,124,0
94713,1,1,1,69,
94714,3,1,8,114,2
94715,1,1,1,69,
94716,8,6,9,205,2
94717,4,2,6,257,2
94718,1,1,1,78,
94719,3,3,3,23,0
9472,1,1,1,64,
94720,12,9,14,353,3
94721,12,9,22,350,3
94722,11,4,13,201,7
94723,41,26,51,346,15
94724,4,4,5,182,0
94725,7,6,46,170,1
94726,26,5,50,352,21
94727,46,15,124,364,31
94728,2,2,2,49,0
94729,5,5,6,116,0
9473,27,15,50,359,12
94730,10,8,11,189,2
94731,1,1,1,12,
94732,22,11,24,363,11
94733,14,3,29,362,11
94734,24,16,34,363,8
94735,6,1,6,332,5
94736,12,10,24,260,2
94737,2,1,2,87,1
94738,2,2,2,355,0
94739,8,7,8,225,1
9474,23,15,29,323,8
94740,4,3,4,115,1
94741,6,6,10,265,0
94742,17,10,22,356,7
94743,2,2,2,17,0
94744,1,1,1,22,
94745,2,2,2,74,0
94746,25,14,31,345,11
94747,1,1,1,49,
94748,3,3,3,48,0
94749,2,1,2,16,1
9475,1,1,1,9,
94750,1,1,1,25,
94751,6,6,6,348,0
94752,1,1,1,27,
94753,19,12,21,236,7
94754,2,2,2,53,0
94755,35,29,50,351,6
94756,3,3,6,124,0
94757,5,3,6,165,2
94758,3,3,3,88,0
94759,48,29,83,353,19
9476,11,3,18,229,8
94760,4,3,4,108,1
94761,4,3,4,62,1
94762,6,3,14,363,3
94763,33,18,44,336,15
94764,8,7,9,343,1
94765,2,2,2,47,0
94766,8,5,12,214,3
94767,12,5,12,305,7
94768,3,2,3,360,1
94769,5,2,5,180,3
9477,12,8,14,256,4
94770,5,4,5,72,1
94771,2,2,2,65,0
94772,26,11,32,338,15
94773,3,1,3,297,2
94774,3,3,3,25,0
94775,2,2,2,103,0
94776,5,3,5,115,2
94777,1,1,1,60,
94778,7,7,12,150,0
94779,2,2,2,216,0
9478,17,9,23,289,8
94780,10,10,10,336,0
94781,9,8,11,131,1
94782,6,5,12,177,1
94783,6,3,11,362,3
94784,8,5,21,114,3
94785,3,3,4,38,0
94786,2,2,3,70,0
94787,6,2,6,61,4
94788,5,3,14,58,2
94789,1,1,4,17,
9479,5,3,5,141,2
94790,3,3,3,55,0
94791,6,3,6,330,3
94792,11,10,12,274,1
94793,24,14,59,357,10
94794,1,1,2,13,
94795,7,6,10,165,1
94796,4,3,4,29,1
94797,1,1,2,19,
94798,2,2,2,130,0
94799,1,1,1,39,
948,13,6,31,151,7
9480,26,9,35,352,17
94800,34,3,70,365,31
94801,6,4,9,346,2
94802,11,2,20,316,9
94803,4,3,4,215,1
94804,3,3,3,53,0
94805,1,1,1,13,
94806,11,6,12,292,5
94807,5,2,5,109,3
94808,7,6,7,144,1
94809,23,21,42,358,2
9481,13,8,19,349,5
94810,1,1,1,27,
94811,4,2,4,112,2
94812,2,2,2,21,0
94813,2,2,2,48,0
94814,11,7,11,338,4
94815,14,7,16,355,7
94816,14,6,32,348,8
94817,29,7,57,337,22
94818,1,1,1,55,
94819,1,1,1,49,
9482,2,2,2,175,0
94820,2,2,4,63,0
94821,2,2,2,44,0
94822,25,13,30,365,12
94823,6,4,6,162,2
94824,6,5,11,181,1
94825,9,7,9,345,2
94826,20,14,23,221,6
94827,13,8,32,261,5
94828,5,3,7,172,2
94829,9,9,11,103,0
9483,1,1,1,21,
94830,1,1,1,67,
94831,1,1,1,27,
94832,14,5,14,184,9
94833,5,2,5,286,3
94834,1,1,3,54,
94835,3,2,3,137,1
94836,2,2,5,11,0
94837,30,8,73,364,22
94838,9,7,11,171,2
94839,1,1,1,45,
9484,10,4,17,288,6
94840,9,8,13,332,1
94841,10,6,15,107,4
94842,9,7,11,359,2
94843,3,2,3,118,1
94844,1,1,1,88,
94845,12,8,12,258,4
94846,5,2,8,171,3
94847,5,3,5,225,2
94848,12,9,13,137,3
94849,3,1,7,67,2
9485,12,10,13,296,2
94850,12,7,17,193,5
94851,8,6,12,363,2
94852,3,3,3,127,0
94853,5,5,9,171,0
94854,14,9,20,342,5
94855,2,2,2,40,0
94856,14,7,15,342,7
94857,3,3,3,60,0
94858,1,1,2,64,
94859,1,1,3,20,
9486,12,5,17,361,7
94860,1,1,1,87,
94861,15,13,15,361,2
94862,7,3,9,171,4
94863,1,1,1,76,
94864,28,14,38,359,14
94865,11,8,21,335,3
94866,1,1,1,6,
94867,1,1,1,74,
94868,3,2,4,42,1
94869,5,3,5,76,2
9487,8,8,13,357,0
94870,3,3,3,60,0
94871,1,1,4,50,
94872,2,2,2,52,0
94873,7,5,8,173,2
94874,7,6,7,190,1
94875,3,2,3,61,1
94876,9,7,34,334,2
94877,5,4,5,180,1
94878,2,2,3,141,0
94879,2,2,2,34,0
9488,2,2,2,19,0
94880,25,21,66,264,4
94881,2,2,6,127,0
94882,2,2,3,46,0
94883,7,3,14,178,4
94884,10,9,12,345,1
94885,3,2,3,217,1
94886,4,1,4,348,3
94887,1,1,1,77,
94888,6,6,10,181,0
94889,8,4,8,90,4
9489,13,5,24,228,8
94890,11,7,13,364,4
94891,2,2,2,68,0
94892,1,1,1,69,
94893,1,1,1,62,
94894,1,1,1,10,
94895,1,1,1,56,
94896,2,2,2,116,0
94897,2,2,3,130,0
94898,18,16,18,305,2
94899,14,7,19,317,7
949,8,7,8,336,1
9490,9,6,15,361,3
94900,3,3,4,135,0
94901,3,3,3,140,0
94902,3,2,4,172,1
94903,15,12,22,363,3
94904,1,1,1,11,
94905,9,4,17,350,5
94906,5,4,6,179,1
94907,7,2,7,283,5
94908,2,2,6,96,0
94909,2,2,3,63,0
9491,8,5,9,204,3
94910,8,5,22,318,3
94911,16,8,20,204,8
94912,1,1,1,8,
94913,2,2,2,7,0
94914,6,5,10,330,1
94915,3,3,3,77,0
94916,42,21,86,320,21
94917,1,1,1,71,
94918,30,21,40,337,9
94919,3,3,3,22,0
9492,3,3,4,75,0
94920,14,11,14,283,3
94921,1,1,1,69,
94922,5,5,5,172,0
94923,10,3,20,253,7
94924,1,1,1,6,
94925,1,1,2,77,
94926,16,12,21,359,4
94927,6,5,13,182,1
94928,3,1,3,201,2
94929,3,3,3,309,0
9493,4,4,4,321,0
94930,1,1,1,19,
94931,9,3,10,364,6
94932,43,20,62,359,23
94933,18,13,36,336,5
94934,6,4,8,106,2
94935,1,1,1,31,
94936,7,3,8,357,4
94937,1,1,1,45,
94938,3,1,3,175,2
94939,34,27,38,347,7
9494,7,4,9,206,3
94940,7,7,7,318,0
94941,8,7,11,111,1
94942,9,6,12,136,3
94943,8,2,8,338,6
94944,1,1,1,9,
94945,10,10,10,359,0
94946,5,5,5,333,0
94947,1,1,1,25,
94948,2,1,2,47,1
94949,2,2,2,85,0
9495,14,12,22,355,2
94950,3,3,3,281,0
94951,18,7,28,363,11
94952,10,5,11,284,5
94953,14,12,23,338,2
94954,5,4,9,158,1
94955,10,6,47,114,4
94956,2,2,2,45,0
94957,1,1,1,73,
94958,6,1,6,338,5
94959,11,8,13,293,3
9496,16,4,21,363,12
94960,21,7,27,336,14
94961,16,10,21,254,6
94962,9,5,9,355,4
94963,5,5,10,17,0
94964,7,7,8,292,0
94965,1,1,3,5,
94966,1,1,1,60,
94967,4,2,7,82,2
94968,26,21,47,332,5
94969,24,8,27,281,16
9497,6,3,8,364,3
94970,3,2,3,37,1
94971,1,1,1,31,
94972,3,1,3,124,2
94973,7,7,7,272,0
94974,4,4,5,83,0
94975,3,3,3,83,0
94976,14,11,15,357,3
94977,4,3,5,57,1
94978,7,5,10,256,2
94979,5,4,5,69,1
9498,14,11,14,362,3
94980,3,2,3,91,1
94981,1,1,3,20,
94982,2,1,2,139,1
94983,9,6,13,148,3
94984,1,1,1,45,
94985,3,3,5,106,0
94986,16,13,17,337,3
94987,4,3,4,343,1
94988,14,8,26,65,6
94989,1,1,2,28,
9499,3,2,5,343,1
94990,8,7,10,72,1
94991,3,3,4,173,0
94992,1,1,1,31,
94993,31,18,57,317,13
94994,3,3,3,11,0
94995,21,12,30,358,9
94996,23,18,26,346,5
94997,8,5,11,365,3
94998,1,1,1,76,
94999,12,8,15,288,4
95,32,25,41,310,7
950,4,4,7,207,0
9500,4,3,5,339,1
95000,23,21,91,196,2
95001,21,18,22,358,3
95002,10,8,16,331,2
95003,3,3,3,81,0
95004,6,3,8,365,3
95005,4,1,7,85,3
95006,18,3,18,358,15
95007,1,1,1,43,
95008,4,3,5,152,1
95009,20,13,32,353,7
9501,7,5,7,182,2
95010,3,3,5,47,0
95011,1,1,1,25,
95012,7,5,10,362,2
95013,4,4,4,298,0
95014,1,1,1,6,
95015,39,34,63,359,5
95016,5,5,5,348,0
95017,22,10,24,364,12
95018,8,4,8,153,4
95019,3,3,3,89,0
9502,2,2,2,89,0
95020,91,28,114,334,63
95021,10,6,15,357,4
95022,12,5,12,329,7
95023,10,4,20,340,6
95024,2,2,2,85,0
95025,6,6,8,156,0
95026,10,6,11,344,4
95027,13,12,13,243,1
95028,1,1,2,63,
95029,8,6,9,363,2
9503,5,4,5,83,1
95030,8,5,8,88,3
95031,41,32,43,360,9
95032,4,4,4,70,0
95033,1,1,2,19,
95034,6,4,8,108,2
95035,2,1,3,64,1
95036,5,1,5,140,4
95037,10,7,10,233,3
95038,16,9,36,329,7
95039,2,2,2,59,0
9504,20,12,25,363,8
95040,4,4,4,338,0
95041,7,7,12,18,0
95042,22,12,61,322,10
95043,1,1,9,23,
95044,11,9,15,267,2
95045,7,7,7,279,0
95046,1,1,5,37,
95047,7,6,14,57,1
95048,17,11,37,317,6
95049,8,6,8,311,2
9505,1,1,1,64,
95050,16,14,29,247,2
95051,2,2,3,20,0
95052,11,10,16,276,1
95053,18,14,26,314,4
95054,2,1,2,9,1
95055,2,1,2,120,1
95056,1,1,1,54,
95057,8,7,13,345,1
95058,2,2,2,19,0
95059,1,1,1,1,
9506,2,2,3,125,0
95060,7,3,8,64,4
95061,7,6,7,219,1
95062,6,4,6,151,2
95063,6,4,7,362,2
95064,2,2,2,90,0
95065,2,2,2,50,0
95066,10,8,12,125,2
95067,7,3,9,333,4
95068,2,2,2,113,0
95069,2,2,2,61,0
9507,8,7,13,350,1
95070,12,8,14,238,4
95071,10,4,18,254,6
95072,11,7,12,224,4
95073,6,5,9,151,1
95074,5,4,7,154,1
95075,3,2,4,83,1
95076,3,2,3,100,1
95077,7,5,12,191,2
95078,1,1,1,56,
95079,20,3,72,340,17
9508,3,3,3,11,0
95080,23,4,28,351,19
95081,5,3,5,110,2
95082,2,2,3,10,0
95083,5,5,5,57,0
95084,3,3,3,115,0
95085,3,3,4,139,0
95086,2,2,3,41,0
95087,32,7,100,358,25
95088,1,1,1,20,
95089,1,1,1,34,
9509,2,2,2,43,0
95090,21,12,27,227,9
95091,3,2,14,172,1
95092,3,3,3,42,0
95093,10,9,12,134,1
95094,12,3,22,139,9
95095,16,12,17,353,4
95096,2,1,7,90,1
95097,1,1,1,68,
95098,2,2,2,148,0
95099,2,2,5,101,0
951,6,3,7,340,3
9510,7,7,8,46,0
95100,3,1,4,149,2
95101,6,6,10,165,0
95102,7,4,12,339,3
95103,7,4,7,248,3
95104,12,7,17,172,5
95105,18,6,21,360,12
95106,2,2,2,53,0
95107,1,1,1,5,
95108,15,3,16,235,12
95109,25,5,92,359,20
9511,2,2,7,9,0
95110,3,1,3,127,2
95111,28,27,28,359,1
95112,22,14,31,341,8
95113,1,1,1,22,
95114,1,1,1,80,
95115,2,2,2,39,0
95116,5,2,5,271,3
95117,15,8,20,256,7
95118,6,5,6,159,1
95119,2,2,2,29,0
9512,12,10,12,364,2
95120,8,7,14,238,1
95121,3,3,5,243,0
95122,16,9,20,319,7
95123,9,5,9,360,4
95124,12,10,13,226,2
95125,4,1,6,56,3
95126,10,5,10,117,5
95127,12,7,12,157,5
95128,3,3,4,190,0
95129,12,9,18,81,3
9513,1,1,1,20,
95130,2,2,4,104,0
95131,17,6,18,336,11
95132,10,9,12,194,1
95133,1,1,1,11,
95134,12,6,15,332,6
95135,2,2,5,14,0
95136,10,2,10,357,8
95137,1,1,1,6,
95138,8,5,16,317,3
95139,2,1,4,50,1
9514,30,21,69,360,9
95140,3,3,7,154,0
95141,11,11,13,193,0
95142,1,1,1,50,
95143,1,1,1,74,
